"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Angola,Various,Returned refugees,,8,2502,,,,,,,,,,,
Antigua and Barbuda,Syrian Arab Republic,Asylum seekers,,,,,,,,,,,,,,*
Argentina,Afghanistan,Refugees,,,,,,,,,,,,1,1,*
Argentina,Afghanistan,Asylum seekers,1,1,1,1,1,1,1,1,,,1,,1,
Argentina,Albania,Refugees,17,13,10,10,13,17,14,13,24,25,27,28,28,25
Argentina,Albania,Asylum seekers,11,14,14,7,1,2,2,6,,,,,,
Argentina,Algeria,Refugees,48,50,50,55,57,59,58,58,46,45,45,45,45,41
Argentina,Algeria,Asylum seekers,11,11,11,12,12,10,9,9,,,,,,
Argentina,Angola,Refugees,11,11,11,13,13,13,15,15,15,14,14,13,13,13
Argentina,Angola,Asylum seekers,3,5,5,2,2,2,3,2,1,,2,2,,*
Argentina,Armenia,Refugees,15,18,18,31,63,87,84,84,106,111,122,122,126,122
Argentina,Armenia,Asylum seekers,139,123,112,50,25,16,10,10,12,16,5,5,6,10
Argentina,Azerbaijan,Asylum seekers,2,2,2,1,1,1,1,1,,,,,,
Argentina,Bangladesh,Refugees,6,6,6,6,8,9,7,7,13,11,9,9,7,
Argentina,Bangladesh,Asylum seekers,15,23,23,19,19,6,8,15,4,12,15,33,36,9
Argentina,Belarus,Refugees,,,,,1,1,1,1,1,1,1,1,1,*
Argentina,Benin,Refugees,,,,,,,,,,,,,1,*
Argentina,Benin,Asylum seekers,6,6,6,7,7,7,7,1,,,,,,
Argentina,Bolivarian Republic of Venezuela,Refugees,,,,,,,,,1,1,1,1,1,*
Argentina,Bolivarian Republic of Venezuela,Asylum seekers,,,,,1,1,1,3,1,3,4,7,4,*
Argentina,Bosnia and Herzegovina,Refugees,8,8,8,8,8,8,8,8,6,6,6,6,6,6
