"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Austria,Morocco,Refugees,,1,1,1,1,2,5,6,7,12,14,13,14,15
Austria,Morocco,Asylum seekers,,,,,,,83,60,110,72,83,145,162,216
Austria,Myanmar,Refugees,,,,,,,,,6,6,7,11,16,26
Austria,Myanmar,Asylum seekers,,,,,,,3,8,8,10,7,2,8,11
Austria,Namibia,Asylum seekers,,,,,,,1,,,,,,,
Austria,Nepal,Refugees,,,,,1,,8,13,19,28,35,38,40,41
Austria,Nepal,Asylum seekers,,,,,,,155,167,167,145,73,101,81,63
Austria,Netherlands,Asylum seekers,,,,,,,,,,1,,,,
Austria,Nicaragua,Asylum seekers,,,,,,,,,,,,1,1,*
Austria,Niger,Refugees,,,,,,,1,1,1,1,1,1,1,*
Austria,Niger,Asylum seekers,,,,,,,6,4,3,7,5,8,5,10
Austria,Nigeria,Refugees,55,50,46,41,48,55,72,97,139,173,228,288,315,346
Austria,Nigeria,Asylum seekers,,,,,,,3284,2544,1942,1804,1200,971,865,837
Austria,Pakistan,Refugees,38,26,18,19,16,24,34,40,61,66,69,74,94,131
Austria,Pakistan,Asylum seekers,,,,,,,521,477,427,423,494,1059,1256,654
Austria,Palau,Asylum seekers,,,,,,,,,,,,,,*
Austria,Peru,Refugees,3,1,1,1,1,2,2,2,2,3,3,2,2,*
Austria,Peru,Asylum seekers,,,,,,,3,2,2,,,,2,*
Austria,Philippines,Refugees,,,,,2,,,2,5,5,6,7,9,9
Austria,Philippines,Asylum seekers,,,,,,,5,7,4,6,8,3,4,*
Austria,Plurinational State of Bolivia,Refugees,,,2,6,6,6,6,6,6,6,15,15,13,10
Austria,Plurinational State of Bolivia,Asylum seekers,,,,,,,20,21,13,16,16,3,3,*
Austria,Poland,Refugees,10,10,9,8,4,3,2,1,1,1,1,,,
Austria,Poland,Asylum seekers,,,,,,,7,1,3,,1,1,3,*
Austria,Qatar,Asylum seekers,,,,,,,,,,,,,,*
Austria,Republic of Korea,Refugees,,,,,,,,,,,1,2,2,*
Austria,Republic of Korea,Asylum seekers,,,,,,,,,,1,1,,,*
Austria,Republic of Moldova,Refugees,,4,5,5,19,32,55,80,111,121,137,143,145,147
Austria,Republic of Moldova,Asylum seekers,,,,,,,582,431,357,222,97,74,75,68
Austria,Romania,Refugees,2079,845,362,208,118,96,72,56,53,45,40,37,37,36
Austria,Romania,Asylum seekers,,,,,,,214,109,73,66,47,35,36,33
Austria,Russian Federation,Refugees,201,186,150,911,4152,6438,8723,11571,14122,15828,17229,18473,19517,19577
Austria,Russian Federation,Asylum seekers,,,,,,,6977,5561,5312,4693,3870,3109,3157,3250
Austria,Rwanda,Refugees,57,73,74,87,91,88,85,64,62,62,54,41,40,28
Austria,Rwanda,Asylum seekers,,,,,,,19,14,16,12,10,10,11,12
Austria,Saudi Arabia,Asylum seekers,,,,,,,,,,1,,,1,
Austria,Senegal,Refugees,1,1,1,1,2,1,1,,3,3,3,4,7,7
Austria,Senegal,Asylum seekers,,,,,,,41,36,32,41,48,50,43,43
Austria,Serbia (and Kosovo: S/RES/1244 (1999)),Refugees,,,,,,,5485,5783,6218,3473,3353,3290,3165,3075
Austria,Serbia (and Kosovo: S/RES/1244 (1999)),Asylum seekers,,,,,,,6532,5331,4687,3957,2797,1598,1065,952
Austria,Serbia and Montenegro,Refugees,,,,4265,4715,5091,,,,,,,,
Austria,Sierra Leone,Refugees,16,20,30,37,42,44,43,47,47,45,46,44,36,32
Austria,Sierra Leone,Asylum seekers,,,,,,,102,77,48,50,37,37,38,37
Austria,Singapore,Asylum seekers,,,,,,,,,,,,,1,
Austria,Slovakia,Refugees,2,2,4,4,4,2,3,3,3,3,4,4,2,*
Austria,Slovakia,Asylum seekers,,,,,,,8,4,2,,,,3,*
Austria,Slovenia,Refugees,1,1,1,1,1,1,,,,,,,,
Austria,Slovenia,Asylum seekers,,,,,,,2,,,2,1,,,
Austria,Somalia,Refugees,54,55,60,81,93,146,266,456,630,830,1093,1473,1915,2278
Austria,Somalia,Asylum seekers,,,,,,,176,318,417,485,407,691,798,812
Austria,South Africa,Refugees,,,,,,,2,,2,2,2,5,5,5
Austria,South Africa,Asylum seekers,,,,,,,4,6,8,7,6,2,2,*
Austria,South Sudan,Refugees,,,,,,,,,,,,,,*
Austria,South Sudan,Asylum seekers,,,,,,,,,,,,,,19
Austria,Sri Lanka,Refugees,13,11,6,5,6,4,6,9,15,27,31,31,30,32
Austria,Sri Lanka,Asylum seekers,,,,,,,81,57,46,47,45,49,52,44
Austria,Stateless,Refugees,32,41,44,66,73,122,180,233,337,374,443,535,625,658
Austria,Stateless,Asylum seekers,,,,,,,383,378,340,336,278,217,178,301
Austria,Stateless,Stateless,,,,,524,500,501,472,464,523,401,464,542,604
Austria,Sudan,Refugees,29,33,42,58,79,108,135,151,163,171,191,237,250,265
Austria,Sudan,Asylum seekers,,,,,,,140,101,88,98,88,96,100,98
Austria,Sweden,Asylum seekers,,,,,,,,,,,,1,,
Austria,Syrian Arab Republic,Refugees,85,79,61,61,75,122,167,255,333,385,505,903,1675,2748
Austria,Syrian Arab Republic,Asylum seekers,,,,,,,290,326,357,495,471,456,694,1561
Austria,Tajikistan,Refugees,28,29,34,35,37,40,42,51,49,44,44,50,59,70
Austria,Tajikistan,Asylum seekers,,,,,,,21,16,19,28,32,55,93,114
Austria,Thailand,Asylum seekers,,,,,,,1,3,2,2,2,2,2,*
Austria,The former Yugoslav Republic of Macedonia,Refugees,9,9,10,17,31,36,57,82,125,156,161,168,168,161
Austria,The former Yugoslav Republic of Macedonia,Asylum seekers,,,,,,,955,793,713,476,327,187,132,162
Austria,Timor-Leste,Asylum seekers,,,,,,,,,,,,1,6,*
Austria,Togo,Refugees,10,10,12,13,14,23,24,26,23,28,27,28,27,26
Austria,Togo,Asylum seekers,,,,,,,29,22,19,11,6,7,6,8
Austria,Trinidad and Tobago,Asylum seekers,,,,,,,,,,1,,,,
Austria,Tunisia,Refugees,36,41,40,41,40,33,34,34,30,15,13,9,9,8
Austria,Tunisia,Asylum seekers,,,,,,,26,25,28,29,43,69,86,104
Austria,Turkey,Refugees,438,383,354,401,450,466,584,758,1060,1167,1288,1329,1309,1276
Austria,Turkey,Asylum seekers,,,,,,,3464,3054,2425,1834,1007,655,493,415
Austria,Turkmenistan,Refugees,,,,9,11,12,12,12,12,14,14,14,14,8
Austria,Turkmenistan,Asylum seekers,,,,,,,6,7,5,3,1,1,2,*
Austria,Uganda,Refugees,4,6,7,8,9,12,16,18,18,17,18,17,17,18
Austria,Uganda,Asylum seekers,,,,,,,41,34,30,27,28,27,19,21
Austria,Ukraine,Refugees,14,19,28,38,65,101,131,151,221,259,282,308,309,311
Austria,Ukraine,Asylum seekers,,,,,,,721,684,515,368,238,141,131,125
Austria,United Republic of Tanzania,Refugees,,,,,,,,,,,,2,2,*
Austria,United Republic of Tanzania,Asylum seekers,,,,,,,2,2,,,,3,4,6
Austria,United States,Refugees,,,,,,1,1,1,1,1,1,1,1,*
Austria,United States,Asylum seekers,,,,,,,1,1,1,1,,,,
Austria,Uruguay,Asylum seekers,,,,,,,,,,1,,,,
Austria,Uzbekistan,Refugees,5,6,6,6,17,25,41,48,92,111,117,130,134,142
Austria,Uzbekistan,Asylum seekers,,,,,,,100,96,73,77,79,61,41,53
Austria,Viet Nam,Refugees,243,181,172,139,118,102,52,52,51,45,42,37,37,38
Austria,Viet Nam,Asylum seekers,,,,,,,118,100,71,17,9,6,13,9
Austria,Western Sahara,Asylum seekers,,,,,,,,1,,3,,,,*
Austria,Yemen,Refugees,,,1,1,1,3,3,6,7,7,9,10,12,14
Austria,Yemen,Asylum seekers,,,,,,,5,2,3,3,2,5,4,*
Austria,Zambia,Asylum seekers,,,,,,,1,1,1,1,1,3,2,*
Austria,Zimbabwe,Refugees,1,1,1,1,2,2,3,3,10,13,18,22,22,23
Austria,Zimbabwe,Asylum seekers,,,,,,,14,8,13,11,18,7,4,6
Austria,Various,Refugees,1615,1834,2789,3885,139,258,263,290,305,310,313,315,322,321
Austria,Various,Asylum seekers,9945,15187,29494,33564,38262,40710,2855,4720,5745,3654,3626,3966,701,613
Azerbaijan,Afghanistan,Refugees,172,243,257,171,148,90,104,108,125,149,718,706,576,603
Azerbaijan,Afghanistan,Asylum seekers,843,931,919,925,893,52,33,45,24,15,2,21,82,164
Azerbaijan,Afghanistan,Others of concern,,,,,,,372,411,469,508,,,,
Azerbaijan,Algeria,Refugees,2,,,,,,,,,,,,,
Azerbaijan,Algeria,Asylum seekers,1,1,3,2,5,,,,,,,,3,
Azerbaijan,Armenia,Refugees,,,,,,,,,1,3,3,8,5,5
Azerbaijan,Armenia,Asylum seekers,,,,,,,,,,,5,,,
Azerbaijan,Azerbaijan,Internally displaced,572451,572955,577179,575609,578545,578545,686586,686586,603251,586013,592860,599192,600336,609029
Azerbaijan,Bangladesh,Asylum seekers,,,,,,1,,,,1,,,1,
Azerbaijan,Cambodia,Refugees,,,,,,,,,,,,1,1,*
Azerbaijan,Cambodia,Asylum seekers,,,,1,1,,,,,,,1,,
Azerbaijan,China,Refugees,,,2,2,1,,,,,,,,,
Azerbaijan,China,Asylum seekers,,1,,,,,,,,,,,,
Azerbaijan,Democratic Republic of the Congo,Refugees,,,,,,,1,1,1,1,1,1,1,*
Azerbaijan,Georgia,Asylum seekers,,,1,4,6,2,1,,,,,,1,*
Azerbaijan,Ghana,Asylum seekers,,1,,,,,,,,,,,,
Azerbaijan,India,Asylum seekers,,,3,1,,,1,1,,,,,,
Azerbaijan,Indonesia,Asylum seekers,2,,,,,,,,,,,,,
Azerbaijan,Iraq,Refugees,19,30,43,29,24,19,3,29,55,37,23,27,12,9
Azerbaijan,Iraq,Asylum seekers,11,41,51,49,41,,9,11,1,4,,1,,12
Azerbaijan,Iraq,Others of concern,,,,,,,23,20,3,2,,,,
Azerbaijan,Islamic Republic of Iran,Refugees,25,11,23,38,47,55,71,90,97,113,104,85,78,77
Azerbaijan,Islamic Republic of Iran,Asylum seekers,42,144,184,186,233,45,26,9,8,8,2,14,17,5
Azerbaijan,Jordan,Refugees,,1,1,1,1,,,,,,,,,
Azerbaijan,Jordan,Asylum seekers,1,,,,,,6,,,,,,,
Azerbaijan,Kazakhstan,Refugees,,,,,,,,,,,,,1,
Azerbaijan,Kazakhstan,Asylum seekers,,,,,,,,1,,,,,,
Azerbaijan,Kuwait,Refugees,,,,7,,,,,,,,,,
Azerbaijan,Lao People's Democratic Republic,Asylum seekers,,,,1,,,,,,,,,,
Azerbaijan,Libyan Arab Jamahiriya,Asylum seekers,1,,,,,,,,,,,,,
Azerbaijan,Nepal,Asylum seekers,,,,,,2,,,,,,,,
Azerbaijan,Nigeria,Asylum seekers,,,,,,1,,,,,,,,
Azerbaijan,Occupied Palestinian Territory,Refugees,2,7,14,9,8,7,9,9,8,1,11,5,,
Azerbaijan,Occupied Palestinian Territory,Asylum seekers,3,3,2,11,10,7,,,,,,,,
Azerbaijan,Pakistan,Refugees,,,,,1,1,1,1,1,1,3,7,5,9
Azerbaijan,Pakistan,Asylum seekers,3,9,,1,32,3,6,8,8,5,3,3,11,38
Azerbaijan,Palestinian,Refugees,,,,,,,,,,,,,5,8
Azerbaijan,Palestinian,Asylum seekers,,,,,,,,,,,,,3,
Azerbaijan,Republic of Moldova,Asylum seekers,,,,,,,,,,,,,,*
Azerbaijan,Russian Federation,Refugees,64,72,116,65,8367,2828,2425,2110,1770,1334,1028,889,781,657
Azerbaijan,Russian Federation,Asylum seekers,2462,5394,6941,7620,,,5,,,10,4,7,11,44
Azerbaijan,Somalia,Refugees,,,,3,4,,,,,,,,,
Azerbaijan,Sri Lanka,Asylum seekers,,8,,,,,,,,,,,,
Azerbaijan,Stateless,Stateless,,,,,30000,2300,2300,2078,2078,2078,2078,1741,3585,3585
Azerbaijan,Sudan,Refugees,1,1,1,,,,,,,,,,,
Azerbaijan,Sudan,Asylum seekers,,2,2,1,1,,,,,,,,,
Azerbaijan,Syrian Arab Republic,Refugees,1,1,1,1,2,1,1,1,,,,1,3,9
Azerbaijan,Syrian Arab Republic,Asylum seekers,,1,,,,2,,,,,,,6,6
Azerbaijan,Tajikistan,Asylum seekers,,,,2,3,,,,,,,,,
Azerbaijan,Turkey,Asylum seekers,3,4,3,,1,,1,,,,,,,*
Azerbaijan,Turkmenistan,Refugees,,,,,3,3,3,3,3,3,,,,
Azerbaijan,Turkmenistan,Asylum seekers,,,6,,3,,,,,,,,,
Azerbaijan,Turkmenistan,Returned refugees,27,17,,,,1,1,,,1,,,,
Azerbaijan,Ukraine,Asylum seekers,,2,,,,,,,,,,,,
Azerbaijan,United Arab Emirates,Refugees,,,,,,,,,,,,,,*
Azerbaijan,Uzbekistan,Asylum seekers,,,,,,,,,,3,1,1,,
Azerbaijan,Yemen,Refugees,1,1,,,,,,,,,,,,
Azerbaijan,Yemen,Asylum seekers,4,9,1,1,2,,,,,,,,,*
